Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
720.00,715.00 - 720.00,300.00 - 1000.00,1.07B,0,0,0,0,11.36,63.03,0,0,0,0,0,141.15,UCAR.N0000
14.80,14.80 - 15.00,5.60 - 22.90,326.46M,0,0,0,0,0,-3.10,0,0,0,0,0,73.25K,ALUF.N0000
66.00,64.70 - 66.00,45.00 - 83.00,6.68B,0,0,0,12.507M,0,-0.26,0,0,0,0,0,17.5K,UML.N0000
104.00,100.00 - 105.00,39.00 - 194.50,6.18B,0,0,0,9.245M,4.70,21.54,0,0,0,0,0,114.79K,VFIN.N0000
50.56,46.75 - 50.56,10.40 - 90.63,58.13B,0,179.7M,0,4.816M,9.85,4.97,0,0,0,0,0,3.6M,VONE.N0000
7.30,7.20 - 7.40,4.80 - 8.60,5.53B,0,248.85M,0,10.910M,11.62,0.63,0,0,0,0,0,1.21M,VPEL.N0000
5.40,5.20 - 5.40,3.90 - 7.00,4.47B,842.61M,0,0,6.547M,6.29,0.84,0,0,0,0,0,819.49K,VLL.N0000
3.20,3.00 - 3.30,2.70 - 5.70,1.74B,0,0,0,2.099M,0,-0.50,0,0,0,0,0,412.64K,CITW.N0000
56.00,55.10 - 56.00,16.10 - 65.60,11.39B,0,41.04M,0,0,8.63,6.41,0,0,0,0,0,74.34K,WATA.N0000
165.00,165.00 - 183.00,53.00 - 325.00,123.75M,0,0,0,0,37.90,4.65,0,0,0,0,0,1.62K,YORK.N0000
