Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.70.90'],['70.90 - 70.90'],['61.50 - 90.00'],['රු.72.44M'],['N/A'],['N/A'],['N/A'],['N/A'],['29.07'],['රු.2.44'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['136.06'],OFEQ.N0000?countryCode=LK
['රු.36.10'],['36.00 - 40.00'],['23.10 - 46.90'],['රු.3.88B'],['N/A'],['N/A'],['N/A'],['N/A'],['13.93'],['රු.2.78'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['13.94K'],ONAL.N0000?countryCode=LK
['රු.15.50'],['14.20 - 16.00'],['5.00 - 16.00'],['රු.3.27B'],['211.1M'],['102.03M'],['N/A'],['රු.6.420M'],['N/A'],['-රු.1.17'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['82.28K'],BFN.N0000?countryCode=LK
['රු.19.40'],['16.90 - 19.50'],['9.50 - 21.10'],['රු.23.49B'],['N/A'],['55.79M'],['N/A'],['N/A'],['9.85'],['රු.1.78'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['794.51K'],OSEA.N0000?countryCode=LK
['රු.29.00'],['29.00 - 30.40'],['15.50 - 36.00'],['රු.1.25B'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['-රු.36.20'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['8.86K'],PALM.N0000?countryCode=LK
['රු.21.00'],['19.10 - 21.50'],['6.10 - 22.50'],['රු.8.98B'],['N/A'],['124.28M'],['N/A'],['රු.13.421M'],['4.48'],['රු.4.47'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['858.56K'],PABC.N0000?countryCode=LK
['රු.3.80'],['3.70 - 3.80'],['2.50 - 5.00'],['රු.2.37B'],['N/A'],['N/A'],['N/A'],['රු.11.506M'],['11.17'],['රු.0.33'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['3.46M'],PAP.N0000?countryCode=LK
['රු.56.60'],['56.50 - 56.70'],['50.00 - 97.90'],['රු.57.82M'],['N/A'],['N/A'],['N/A'],['N/A'],['37.69'],['රු.1.50'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['547.71'],PARA.N0000?countryCode=LK
['රු.34.00'],['33.80 - 34.00'],['18.00 - 40.00'],['රු.1.03B'],['N/A'],['N/A'],['N/A'],['රු.2.242M'],['N/A'],['-රු.4.22'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.22K'],PEG.N0000?countryCode=LK
['රු.35.50'],['32.20 - 35.50'],['16.50 - 37.00'],['රු.6.8B'],['N/A'],['50M'],['N/A'],['රු.10.041M'],['5.94'],['රු.5.52'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['251.68K'],PINS.N0000?countryCode=LK
['රු.14.00'],['13.80 - 14.00'],['8.69 - 15.40'],['රු.23.86B'],['1.7B'],['322.94M'],['N/A'],['රු.11.325M'],['7.87'],['රු.1.77'],['0.00%'],['රු.0.67'],"['Jan 13, 2020']",['N/A'],['N/A'],['825.14K'],PLC.N0000?countryCode=LK
['රු.8.90'],['8.90 - 9.00'],['7.00 - 11.00'],['රු.1.83B'],['N/A'],['N/A'],['N/A'],['රු.5.030M'],['486.34'],['රු.0.02'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['14.06K'],PMB.N0000?countryCode=LK
